Job Title,Role,Qualifications,Experience,location,Country,Work Type,Job Description,Salary Range,Benefits
Tax Consultant,International Tax Consultant,BA,1 to 11 Years,Valletta,Malta,Part-Time,"An International Tax Consultant focuses on tax matters related to international business operations, ensuring compliance with global tax laws and optimizing tax structures.",$60K-$111K,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}"
Network Technician,Network Security Specialist,B.Com,3 to 15 Years,Dakar,Senegal,Contract,"Network Security Specialists focus on network security. They implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",$57K-$121K,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}"
Mechanical Designer,HVAC Systems Designer,BA,0 to 9 Years,Male,Maldives,Full-Time,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",$57K-$82K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Sales Manager,Sales Team Leader,MCA,1 to 10 Years,Stockholm,Sweden,Part-Time,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.",$58K-$109K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Event Planner,Wedding Planner,PhD,2 to 8 Years,San Marino,San Marino,Temporary,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",$61K-$91K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Data Analyst,Business Intelligence Analyst,BBA,3 to 8 Years,Ottawa,Canada,Temporary,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.",$64K-$107K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Network Engineer,Wireless Network Engineer,B.Com,2 to 9 Years,Georgetown,Guyana,Part-Time,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",$65K-$91K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Marketing Manager,Digital Marketing Manager,MBA,5 to 15 Years,Dushanbe,Tajikistan,Temporary,"Digital Marketing Managers lead digital marketing efforts, including SEO, SEM, social media, email marketing, and content strategy. They develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.",$63K-$126K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Financial Controller,Accounting Controller,MBA,3 to 11 Years,Berlin,Germany,Intern,"Accounting Controllers manage an organizations accounting and financial reporting functions. They ensure accurate financial records, compliance with accounting standards, and timely financial reporting to support informed decision-making.",$60K-$103K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Procurement Specialist,Sourcing Analyst,BBA,0 to 9 Years,Seoul,"Korea, Rep.",Temporary,"Sourcing Analysts research and analyze potential suppliers, evaluate procurement strategies, and negotiate contracts to secure cost-effective and quality supplies.",$62K-$114K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Project Manager,Agile Project Manager,B.Tech,3 to 12 Years,Nassau,"Bahamas, The",Temporary,"The Agile Project Manager leads Agile teams, facilitating effective project development and delivery. They use Agile methodologies to manage tasks, prioritize work, and adapt to changing requirements while fostering collaboration among team members.",$64K-$95K,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}"
Purchasing Agent,Inventory Manager,B.Tech,0 to 8 Years,Road Town,British Virgin Islands,Full-Time,"An Inventory Manager oversees inventory levels, coordinates stock movements, and optimizes inventory control procedures to ensure efficient stock management and product availability.",$55K-$126K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
UX/UI Designer,User Interface Designer,MBA,0 to 11 Years,Papeete,French Polynesia,Contract,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$60K-$81K,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}"
Java Developer,Java Software Engineer,PhD,1 to 15 Years,Phnom Penh,Cambodia,Full-Time,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.",$65K-$123K,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}"
Systems Administrator,IT Support Specialist,B.Tech,3 to 8 Years,Kinshasa,Democratic Republic Of Congo,Full-Time,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",$56K-$124K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
UX Researcher,UX Strategist,B.Tech,3 to 8 Years,Tehran,"Iran, Islamic Rep.",Contract,"Develop user experience (UX) strategies, create user journeys, and ensure user-centric design in product development.",$58K-$130K,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}"
Veterinarian,Equine Veterinarian,MCA,0 to 14 Years,Canberra,Australia,Part-Time,"An Equine Veterinarian specializes in the health and well-being of horses. They diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.",$56K-$81K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
UX/UI Designer,User Interface Designer,M.Com,0 to 9 Years,Lom̩,Togo,Temporary,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",$59K-$130K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Event Manager,Conference Manager,MBA,1 to 14 Years,Bangkok,Thailand,Part-Time,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",$59K-$114K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Content Writer,Copywriter,PhD,2 to 14 Years,Zagreb,Croatia,Temporary,"Copywriters create compelling written content for various mediums, such as advertising, websites, and marketing materials. They craft persuasive and engaging messages that resonate with target audiences.",$62K-$124K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Network Administrator,Network Security Analyst,M.Tech,2 to 11 Years,Ulaanbaatar,Mongolia,Part-Time,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",$58K-$95K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Substance Abuse Counselor,Family Counselor,BA,0 to 12 Years,Havana,Cuba,Full-Time,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",$57K-$90K,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}"
Finance Manager,Treasury Manager,M.Tech,4 to 11 Years,Windhoek,Namibia,Contract,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",$65K-$101K,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}"
Marketing Analyst,Digital Marketing Analyst,M.Tech,5 to 9 Years,Porto-Novo,Benin,Full-Time,"Analyze digital marketing campaigns, track performance metrics, and optimize online marketing strategies.",$61K-$102K,"{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}"
Mechanical Engineer,Manufacturing Engineer,BA,4 to 12 Years,Nairobi,Kenya,Contract,"Manufacturing Engineers optimize manufacturing processes, improve production efficiency, and ensure product quality in manufacturing environments.",$60K-$110K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
Marketing Coordinator,Event Marketing Coordinator,BCA,1 to 8 Years,Canberra,Australia,Temporary,"Event Marketing Coordinators focus on marketing events, including trade shows, exhibitions, and product launches, to maximize attendance and engagement.",$65K-$87K,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}"
